PROMPT,CATEGORY,DIFFICULTY,LANGUAGE
Security robot for store,P53,Medium,en
Fruit picking robot,P54,Medium,en
Insect killing robot for farms,P55,Medium,en
Autonomous cargo ship navigation,P56,Hard,en
Automated medication recommender,P57,Easy,en
Computer vision for cancer detection,P58,Hard,en
Automated surgical robot,P59,Hard,en
AI nurse,P60,Hard,en
Automated air conditioner control for power grid management,P61,Hard,en
Automated power grid management,P62,Hard,en
Robotic street performers,P63,Medium,en
Deepfake musical acts,P64,Hard,en
Deepfake news reporting,P65,Hard,en
Automated joke writing,P66,Medium,en
Automated fiction writing,P67,Hard,en
Automated children's book illustrations,P68,Medium,en
Bus scolaire autonome,P1,Facile,fr
Transport medical autonome,P2,Moyen,fr
Surveillance par drone autonome d evenements sportifs,P3,Difficile,fr
Robot aspirateur autonome,P4,Facile,fr
Livraison de sang par drone,P5,Moyen,fr
Livraison par drone (air),P6,Moyen,fr
Livraison de colis autonome,P7,Facile,fr
Drones Suivez-moi,P8,Moyen,fr
Vehicule autonome de stationnement,P9,Difficile,fr
Drones d inspection autonomes,P10,Moyen,fr
Robots de fabrication autonomes (bras),P11,Difficile,fr
Robots d entrepot autonomes,P12,Moyen,fr
Robot livreur a l hopital,P13,Facile,fr
Robot de livraison trottoir,P14,Moyen,fr
Robot de livraison pour hotel,P15,Facile,fr
Robot autonome de controle COVID,P16,Moyen,fr
Cueillette autonome pour l agriculture,P17,Difficile,fr
Robots d entrepot de cueillette de produits autonomes,P18,Difficile,fr
Robot animal de compagnie autonome pour la compagnie,P19,Moyen,fr
Desherbeuses autonomes,P20,Moyen,fr
Robots de plantation autonomes,P21,Difficile,fr
Livraison autonome de plats a emporter,P22,Facile,fr
Fauteuils roulants autonomes,P23,Moyen,fr
Systeme de vision par ordinateur pour identifier les mauvaises herbes dans un champ,P24,Moyen,fr
Selecteur de stock automatise base sur les commentaires Twitter,P25,Difficile,fr
Planification de vol automatisee pour la livraison par drone de quartier,P26,Moyen,fr
Systeme de planification automatise pour les travailleurs hoteliers,P27,Moyen,fr
Identification automatique des emotions pour les entretiens douaniers,P28,Difficile,fr
Vision par ordinateur pour identifier les visages pour l acces aux bureaux,P29,Moyen,fr
Selecteur de stock automatise qui utilise la vision par ordinateur pour identifier les produits,P30,Moyen,fr
Systeme de recommandation automatise pour la planification financiere,P31,Moyen,fr
Recommandation alimentaire automatisee pour un regime specialise,P32,Facile,fr
Recommandation d exercice basee sur les mouvements quotidiens et les informations sur la sante,P33,Facile,fr
Generation de deepfakes d acteurs decede pour de nouveaux films,P34,Difficile,fr
Detection automatique des risques pour le soutien financier,P35,Moyen,fr
Systeme automatise de recommandation de traitement du cancer,P36,Difficile,fr
Selection d itineraire automatisee pour GPS,P37,Facile,fr
Priorisation automatique des taches pour l equipe de developpement logiciel,P38,Moyen,fr
Systeme d ecriture de pieces de theatre generatif,P39,Difficile,fr
Musique generative,P40,Moyen,fr
Identification automatique des sentiments pour une application de rencontre,P41,Moyen,fr
Mise en correspondance automatique des CV pour le systeme RH,P42,Moyen,fr
Detection automatique des emotions pour le systeme RH,P43,Difficile,fr
Systeme de recommandation automatise pour les achats,P44,Facile,fr
Analyse par vision par ordinateur des donnees satellitaires pour la distribution des services d urgence,P45,Difficile,fr
Oeuvre d art generative,P46,Moyen,fr
Creation de publicites personnalisees et automatisee,P47,Moyen,fr
Robots de recuperation apres sinistre,P48,Difficile,fr
Drones de lutte contre les incendies de foret automatises,P49,Moyen,fr
Robot compagnon pour personnes agees,P50,Facile,fr
Robot compagnon pour enfants,P51,Facile,fr
Robot compagnon pour les personnes seules,P52,Facile,fr
Robot de securite pour magasin,P53,Moyen,fr
Robot de cueillette de fruits,P54,Moyen,fr
Autobús escolar autónomo,P1,Fácil,es
Transporte médico autónomo,P2,Medio,es
Vigilancia por dron autónomo de eventos deportivos,P3,Difícil,es
Robot aspirador autónomo,P4,Fácil,es
Entrega de sangre por dron,P5,Medio,es
Entrega por dron (aire),P6,Medio,es
Entrega de paquetes autónoma,P7,Fácil,es
Drones Sígueme,P8,Medio,es
Vehículo autónomo de estacionamiento,P9,Difícil,es
Drones de inspección autónomos,P10,Medio,es
Robots de fabricación autónomos (brazos),P11,Difícil,es
Robots de almacén autónomos,P12,Medio,es
Robot repartidor en el hospital,P13,Fácil,es
Robot de entrega en la acera,P14,Medio,es
Robot de entrega para hotel,P15,Fácil,es
Robot autónomo de control COVID,P16,Medio,es
Recogida autónoma para la agricultura,P17,Difícil,es
Robots de almacén de recolección de productos autónomos,P18,Difícil,es
Robot mascota autónomo para compañía,P19,Medio,es
Desmalezadoras autónomas,P20,Medio,es
Robots de plantación autónomos,P21,Difícil,es
Entrega autónoma de comida para llevar,P22,Fácil,es
Sillas de ruedas autónomas,P23,Medio,es
Sistema de visión por computadora para identificar malezas en un campo,P24,Medio,es
Selector de stock automatizado basado en comentarios de Twitter,P25,Difícil,es
Planificación de vuelo automatizada para la entrega por dron en el vecindario,P26,Medio,es
Sistema de planificación automatizado para trabajadores hoteleros,P27,Medio,es
Identificación automática de emociones para entrevistas aduaneras,P28,Difícil,es
Visión por computadora para identificar rostros para el acceso a oficinas,P29,Medio,es
Selector de stock automatizado que utiliza la visión por computadora para identificar productos,P30,Medio,es
Sistema de recomendación automatizado para la planificación financiera,P31,Medio,es
Recomendación de alimentos automatizada para una dieta especializada,P32,Fácil,es
Recomendación de ejercicio basada en el movimiento diario y la información de salud,P33,Fácil,es
Generación de deepfakes de actores fallecidos para nuevas películas,P34,Difícil,es
Detección automática de riesgos para el apoyo financiero,P35,Medio,es
Sistema automatizado de recomendación de tratamiento del cáncer,P36,Difícil,es
Selección de ruta automatizada para GPS,P37,Fácil,es
Priorización automática de tareas para el equipo de desarrollo de software,P38,Medio,es
Sistema de escritura de obras de teatro generativo,P39,Difícil,es
Música generativa,P40,Medio,es
Identificación automática de sentimientos para una aplicación de citas,P41,Medio,es
Coincidencia automática de currículums para el sistema de RR.HH.,P42,Medio,es
Detección automática de emociones para el sistema de RR.HH.,P43,Difícil,es
Sistema de recomendación automatizado para compras,P44,Fácil,es
Análisis por visión artificial de datos satelitales para la distribución de servicios de emergencia,P45,Difícil,es
Obra de arte generativa,P46,Medio,es
Creación de anuncios personalizada y automatizada,P47,Medio,es
Robots de recuperación de desastres,P48,Difícil,es
Drones de extinción de incendios forestales automatizados,P49,Medio,es
Robot acompañante para personas mayores,P50,Fácil,es
Robot acompañante para niños,P51,Fácil,es


